work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2020,SE,FT,Cyber Security,Information Security Manager,252000,USD,252000,United States,100,United States,M,
2020,MI,FT,Mobile Developer,Application Security Engineer,107000,CAD,79810,Canada,100,Canada,L,
2020,SE,FT,Data Scientist,Incident Response Analyst,135000,USD,135000,United States,50,United States,L,
2021,SE,FT,,Penetration Tester,190000,USD,190000,United States,100,United States,M,
2021,EN,FT,Cyber Security,Security Analyst,48000,USD,48000,United States,100,United States,L,
2021,MI,FT,Cyber Security,Security Engineering Manager,140000,USD,140000,United States,50,United States,L,
2021,SE,FT,,Penetration Tester,180000,NZD,127248,New Zealand,50,New Zealand,S,
2021,SE,FT,Cyber Security,Security Engineer,90000,GBP,123792,United Kingdom,50,United Kingdom,L,
2021,EN,FT,Cyber Security,Cyber Security Engineer,75500,AUD,56662,Australia,100,Australia,M,
2020,SE,FT,Cyber Security,Cyber Security Architect,203000,USD,203000,United States,50,United States,L,
2020,EN,FT,Cyber Security,Cyber Security Specialist,34000,EUR,38776,Italy,50,Italy,L,
2021,MI,FT,Cyber Security,Product Security Engineer,140400,USD,140400,United States,50,United States,L,
2021,MI,FT,,Penetration Tester,110000,USD,110000,United States,100,United States,L,
2021,SE,FT,Cyber Security,Security Engineer,172000,USD,172000,United States,100,United States,L,
2021,EN,FT,Cyber Security,Cyber Security Engineer,88500,USD,88500,United States,50,United States,L,
2020,EN,FT,Cyber Security,Cyber Security Engineer,76960,USD,76960,United States,50,United States,L,
2020,SE,FT,Cyber Security,Information Security Engineer,145000,USD,145000,United States,100,United States,L,
2020,MI,FT,Cyber Security,Cyber Security Specialist,109000,USD,109000,United States,0,United States,L,
2020,EN,FT,,Penetration Tester,56000,EUR,63866,Germany,50,Germany,S,
2021,EN,FT,Cyber Security,Cyber Security Analyst,85000,USD,85000,United States,50,United States,M,
2021,SE,FT,Mobile Developer,Application Security Engineer,75000,USD,75000,Portugal,50,Portugal,M,
2020,SE,FT,Cyber Security,Software Security Engineer,300000,AUD,206620,Australia,100,Australia,L,
2020,SE,FT,Cyber Security,Information Security Manager,140000,USD,140000,United States,0,United States,L,
2020,EX,FT,Cyber Security,Information Security Manager,169781,USD,169781,United States,100,United States,L,
2021,SE,FT,Cyber Security,Cyber Threat Intelligence Analyst,110000,USD,110000,United States,100,United States,L,
2021,MI,FT,Cyber Security,Cyber Security Engineer,85000,USD,85000,United States,100,United States,L,
2020,SE,FT,Cyber Security,Cyber Threat Intelligence Analyst,108000,USD,108000,United States,100,United States,L,
2020,SE,FT,Cyber Security,Information Security Architect,85000,GBP,109024,United Kingdom,100,United Kingdom,M,
2021,EN,FT,Cyber Security,Cyber Security Researcher,125000,USD,125000,United States,50,United States,L,
2021,SE,FT,,Penetration Tester,133000,USD,133000,United States,100,United States,L,
2020,MI,FT,Cyber Security,Cyber Security Engineer,126000,USD,126000,United States,50,United States,L,
2020,EN,FT,Cyber Security,Information Security Officer,43000,EUR,49040,France,50,France,L,
2020,SE,FT,Cyber Security,Security Incident Response Engineer,260000,USD,260000,United States,100,United States,L,
2021,EN,FT,Cyber Security,Cyber Threat Analyst,200000,PLN,51774,Poland,0,Poland,L,
2021,MI,FT,Data Scientist,Threat Intelligence Analyst,105000,USD,105000,United States,0,United States,S,
2021,SE,FT,Cyber Security,Cyber Security Engineer,133900,USD,133900,United States,100,United States,L,
2021,MI,FT,Cyber Security,Information Security Analyst,75000,USD,75000,United States,0,United States,L,
2021,SE,FT,,Penetration Testing Engineer,384000,ILS,118903,Israel,50,Israel,L,
2021,MI,FT,Cyber Security,IT Security Engineer,89000,USD,89000,United States,0,United States,M,
2021,EX,FT,Cyber Security,Chief Information Security Officer,400000,USD,400000,United States,100,United States,L,
2021,SE,FT,DevOps,Cloud Security Architect,205000,USD,205000,United States,100,United States,L,
2020,SE,FT,Cyber Security,Information Security Architect,198000,USD,198000,United States,100,United States,L,
2021,SE,FT,Cyber Security,Cyber Security Specialist,51000,EUR,60284,Netherlands,50,Netherlands,M,
2020,SE,FT,Cyber Security,Information Security Architect,110000,EUR,125452,Germany,50,Germany,L,
2020,EX,FT,Cyber Security,Cyber Security Architect,190000,EUR,216690,France,100,France,L,
2021,SE,FT,,Ethical Hacker,49000,EUR,57920,Netherlands,50,Netherlands,S,
2021,MI,FT,Cyber Security,Information Security Officer,86000,USD,86000,United States,0,United States,L,
2020,EN,FT,Cyber Security,Cyber Security Analyst,65000,USD,65000,United States,100,United States,S,
2020,SE,FT,Cyber Security,Security Engineer,149000,USD,149000,United States,50,United States,L,
